name,category,city
Бургер Клаб,fast_food,Москва
Студия театрального искусства,theatre,Москва
SeDelice,cafe,Москва
Рандеву,cafe,Москва
Аморино,cafe,Москва
Илларион,restaurant,Москва
Пионер,cinema,Москва
Кахури,restaurant,Москва
Вдохновение,fountain,Москва
Ночной дворик,cafe,Москва
Чёрный кот,restaurant,Москва
BierЛога,pub,Москва
ЛаГатта,cafe,Москва
Парус,cafe,Москва
Чайхана Сезам,restaurant,Москва
"Дорогая, я перезвоню...",bar,Москва
Pub Daddy,pub,Москва
Алоха,cafe,Москва
АндерСон,restaurant,Москва
Летописец,artwork,Москва
Московский дом Достоевского,museum,Москва
"Братская могила, обелиск погибшим воинам",attraction,Москва
Поклонный крест на месте разрушенного Покровского Храма,attraction,Москва
Гелена,cafe,Москва
Big City,cafe,Москва
Аллея,cafe,Москва
Сан Сан,fast_food,Москва
Музей Спорта,museum,Москва
Чайковский,restaurant,Москва
Суп-кафе,restaurant,Москва
Волконский,cafe,Москва
Sally O'Brien's,pub,Москва
Восток,cafe,Москва
Музейно-выставочный центр «Тушино»,arts_centre,Москва
Алло пицца,restaurant,Москва
Точка G,erotic,Москва
Улыбка,cafe,Москва
Синема Парк Starlight,cinema,Москва
Клуб Аяна,bar,Москва
China today,restaurant,Москва
Дежа Вю,restaurant,Москва
Аршин,restaurant,Москва
Гуава бар,bar,Москва
Флокс кафе,cafe,Москва
Dodgy,fast_food,Москва
Генацвале,restaurant,Москва
Эрик Рыжий,pub,Москва
Колхи,bar,Москва
Дворовый капитан,artwork,Москва
Сам пришёл,restaurant,Москва
Domino's,fast_food,Москва
Ян Примус,restaurant,Москва
Graff Lounge,restaurant,Москва
Хорошее место,cafe,Москва
Хинкальная на Спасской,restaurant,Москва
Капри,restaurant,Москва
Не только Хлеб,cafe,Москва
F1,cafe,Москва
Coffee Bean,cafe,Москва
Madex,arts_centre,Москва
Тонгал,restaurant,Москва
Сушисет,fast_food,Москва
Центр Народной Культуры Дом Романса,arts_centre,Москва
Пять Залов,cinema,Москва
Вель,cafe,Москва
Султан,restaurant,Москва
Даиси,restaurant,Москва
Акбаш,restaurant,Москва
Город Ветров,restaurant,Москва
Интер,pub,Москва
БониМария,restaurant,Москва
Мир Шашлыков,cafe,Москва
Пицца Фреска,fast_food,Москва
Водолаз-маяк,artwork,Москва
Малиновка,restaurant,Москва
Бутчер,restaurant,Москва
Трактир,cafe,Москва
Конор Мак Несса,pub,Москва
Рассена,restaurant,Москва
Летний кинотеатр,attraction,Москва
Абриколь,cafe,Москва
Додо Пицца,fast_food,Москва
Хинкальная Сити,cafe,Москва
Эль Гаучо,restaurant,Москва
Зебра,restaurant,Москва
Fruit Bar,fast_food,Москва
Pro.Хинкали,restaurant,Москва
Разгуляй,restaurant,Москва
Родной,mall,Москва
Итальянец,restaurant,Москва
Сергеич,bar,Москва
Каприз,stripclub,Москва
Киноплов,restaurant,Москва
InCrosta,cafe,Москва
The рыба,restaurant,Москва
Moments,restaurant,Москва
НАМИ,restaurant,Москва
Вечерние огни,cafe,Москва
Дружба,fast_food,Москва
Correa's,restaurant,Москва
Мтеби,restaurant,Москва
Караоке-бар,bar,Москва
Таро,restaurant,Москва
Balabowl,cafe,Москва
Сандык,restaurant,Москва
Старый Батумъ,restaurant,Москва
Океанариум Рио,aquarium,Москва
"Московский детский музыкально-драматический театр ""Поколение""",theatre,Москва
Чинар,restaurant,Москва
Долина,restaurant,Москва
Вкусный мир,cafe,Москва
Алмаз Синема Алтуфьевский,cinema,Москва
Крыша Бар,bar,Москва
Заря,restaurant,Москва
Дом на набережной,museum,Москва
Чайхана Адияхан халяль,restaurant,Москва
"Буфет ""Элинн""",restaurant,Москва
Галилея,restaurant,Москва
Алло! Пицца,restaurant,Москва
Chokolat,cafe,Москва
ГИТИС-Театр,theatre,Москва
Бабель,restaurant,Москва
Prime,cafe,Москва
Удон-сан,cafe,Москва
Юрта,restaurant,Москва
Ив. Дурдинъ,restaurant,Москва
Артико,restaurant,Москва
Грот «Руины»,attraction,Москва
Джон Булл,pub,Москва
Мтабари,restaurant,Москва
Кедр,cafe,Москва
Венская кофейня,cafe,Москва
Спектр,cafe,Москва
Мясо,restaurant,Москва
Театр им. Вл. Маяковского,theatre,Москва
Девушка с кувшином,artwork,Москва
А. Ф. Кони,cafe,Москва
5D КиноАттракцион,cinema,Москва
Арго VIP,restaurant,Москва
Lilian's,cafe,Москва
Столовая 48,fast_food,Москва
Столовая НИУ ВШЭ,fast_food,Москва
Италония,restaurant,Москва
Фонтан-стела,artwork,Москва
69 Pints,pub,Москва
Легендар,bar,Москва
Фаворит,cafe,Москва
Вилладж-Паб,pub,Москва
Зизифора,restaurant,Москва
Вышка,bar,Москва
"Театр-школа ""Образ""",theatre,Москва
Forbest,restaurant,Москва
Тико,restaurant,Москва
Гусятникоff,restaurant,Москва
Аруба,restaurant,Москва
По Чесноку,restaurant,Москва
Мацони,restaurant,Москва
Китайское барбекю 1314,cafe,Москва
У Мангала,cafe,Москва
Пепела,cafe,Москва
Мали-Београд,restaurant,Москва
Улей,cafe,Москва
La Pausa,cafe,Москва
Козловица,pub,Москва
Кулинарное чтиво,cafe,Москва
Jeans Cafe,cafe,Москва
Золберг,restaurant,Москва
Музей холодной войны (экспозиционный комплекс Бункер-42),museum,Москва
Бочка,restaurant,Москва
Тещин Борщ,restaurant,Москва
Маяк,cafe,Москва
Ла Гатта,restaurant,Москва
Андерсон,restaurant,Москва
Kalabasa,cafe,Москва
Спорт бар,bar,Москва
Гарден,restaurant,Москва
Union Jack,pub,Москва
Сейджи,restaurant,Москва
Cedro,restaurant,Москва
Кулинария Океан,cafe,Москва
Loft Bar,bar,Москва
Sanctuary,restaurant,Москва
Мадам Галифе,restaurant,Москва
КофеТун/СушиТун,restaurant,Москва
Корчма-Диканька,restaurant,Москва
Никала,cafe,Москва
1000 мелочей,mall,Москва
Пражка,restaurant,Москва
Украина,restaurant,Москва
100ловая,fast_food,Москва
Лето,cafe,Москва
Вояж,cafe,Москва
Кронверк Синема Семеновский,cinema,Москва
Кафе-бар,cafe,Москва
"Кафе-столовая ""Уголок""",cafe,Москва
У Джонни,cafe,Москва
Музей-квартира священника Павла Флоренского,museum,Москва
Постоялый двор,restaurant,Москва
Wаурма,fast_food,Москва
Триумф,cafe,Москва
Паладин,restaurant,Москва
ПивТрест,restaurant,Москва
Дом быта,mall,Москва
Древо Жизни,artwork,Москва
Домашняя кухня,cafe,Москва
Выставочный зал музея Зеленограда,museum,Москва
Буфет Тантал,cafe,Москва
столовая,fast_food,Москва
Темпл Бар,restaurant,Москва
В гости,restaurant,Москва
Da Pino,restaurant,Москва
Локо,pub,Москва
Таёжный,restaurant,Москва
Москонцерт Холл,theatre,Москва
Chang,restaurant,Москва
Погребок,cafe,Москва
Старый цирк,artwork,Москва
Кладовая солнца,restaurant,Москва
Старая Усадьба,restaurant,Москва
Илья Муромец,restaurant,Москва
Лок Сток,pub,Москва
Нью Йорк,restaurant,Москва
Парус,restaurant,Москва
Важная Персона,cafe,Москва
Моссовет,restaurant,Москва
Кафе на Басманной,cafe,Москва
Хомяк,cafe,Москва
Ася,restaurant,Москва
Пицца Соле Мио,fast_food,Москва
Этаж Прojект,restaurant,Москва
БлинБери,cafe,Москва
Тбилисо,cafe,Москва
С. П. Боткину,artwork,Москва
New York Cafe,cafe,Москва
Визирь Махалля & Граф Орлов,restaurant,Москва
Лесное,cafe,Москва
Пиццерия,fast_food,Москва
Музей истории Лефортово,museum,Москва
ye olde Flying Inn,pub,Москва
Наше кафе,cafe,Москва
Сахар,cafe,Москва
Донателло пицца,fast_food,Москва
Beerлога,pub,Москва
Эльф,bar,Москва
Кафе,cafe,Москва
Iskra,cafe,Москва
Театральный центр «На Страстном»,theatre,Москва
"Торгово-развлекательный центр ""Авентура""",mall,Москва
Кавказский дворик,restaurant,Москва
Столовая №8,cafe,Москва
Кремлёвские куранты,clock,Москва
Studio 46,restaurant,Москва
Мосдонер,fast_food,Москва
Калипсо,restaurant,Москва
Пицца Аморэ,restaurant,Москва
Формула Кино Чертаново,cinema,Москва
Кафе-столовая,cafe,Москва
Sole Mio,restaurant,Москва
Измайлово,gallery,Москва
Дореволюционный фонарь,attraction,Москва
Хот-дог,fast_food,Москва
E95,cafe,Москва
Куба,restaurant,Москва
Водный путь,artwork,Москва
Costa,cafe,Москва
Royal Bar,restaurant,Москва
Vodный,restaurant,Москва
Спорт,artwork,Москва
Дети мира,artwork,Москва
Кладовая солнца,pub,Москва
Buy The Way,cafe,Москва
Кофе Порт,cafe,Москва
Оранжерея,cafe,Москва
Тушинский дворик,cafe,Москва
Dachniki,restaurant,Москва
Балтика,cinema,Москва
Кофишенская,cafe,Москва
Glastonberry Pub,bar,Москва
Южный дворик,restaurant,Москва
Елисей-1,cafe,Москва
Кафетерий,cafe,Москва
Probka,restaurant,Москва
Блинная,fast_food,Москва
Клава,bar,Москва
Квартира 44,restaurant,Москва
Чинар,cafe,Москва
"Менажереи, домики для птиц",attraction,Москва
В Темноте?!,restaurant,Москва
Ecle,restaurant,Москва
Пена,cafe,Москва
Рюмка,cafe,Москва
Рома,cafe,Москва
Формула Кино Ладога,cinema,Москва
"Драматический театр ""Вернадского, 13""",theatre,Москва
9barcoffee,cafe,Москва
Сандал,cafe,Москва
Офис-клуб,fast_food,Москва
Калужский,fast_food,Москва
Tempo Pizza,fast_food,Москва
Комета,restaurant,Москва
Петровский,mall,Москва
Театр музыки и поэзии под руководством Е. Камбуровой,theatre,Москва
Lavash,restaurant,Москва
Пипл & паста,cafe,Москва
Счастье,restaurant,Москва
Начальник Чукотки,pub,Москва
Школа драматического искусства,theatre,Москва
Советской семье,artwork,Москва
Луснар,restaurant,Москва
